referencia;precio
6634;47,34 
6635;47,34 
7090;120,06 
7091;120,06 
7092;124,34 
7093;124,34 
5087;95,17 
6530;49,40 
6531;49,40 
5123;44,70 
5124;45,90 
5125;50,90 
7070;53,90 
7071;53,90 
7072;53,90 
7073;53,90 
6690;182,22 
6691;173,10 
6692;197,62 
6693;138,76 
6694;130,36 
6695;148,58 
6696;92,50 
6697;86,20 
6698;104,42 
6290;550,68 
6291;408,12 
6292;322,30 
6295;55,40 
6296;96,62 
6300;550,68 
6301;408,12 
6302;322,30 
6303;193,24 
6304;89,86 
6306;96,62 
6307;62,83 
5911;394,82 
5913;293,58 
5915;268,61 
5918;291,56 
6031;262,55 
5100;187,20 
5101;144,30 
5102;66,30 
5103;95,55 
5104;167,70 
C0089;46,50 
C0141;45,20 
C0142;43,30 
C0143;45,20 
5780;315,12 
5781;306,11 
5782;114,80 
5783;123,79 
5784;87,79 
5785;292,60 
5786;234,08 
5787;117,94 
5770;315,12 
5771;306,11 
5774;87,79 
5775;292,60 
5776;234,08 
5777;117,94 
7105;94,34 
7106;158,64 
7107;49,32 
7108;78,46 
7109;78,46 
6070;39,90 
6071;41,80 
6072;45,60 
6508;56,80 
R00100;0,46 
R00101;0,46 
6870;53,50 
6871;53,50 
7123;279,00 
7124;289,00 
7125;279,00 
7126;289,00 
3850;612,30 
3851;339,30 
3852;232,05 
3853;462,15 
3855;251,55 
3857;395,85 
3858;126,75 
3860;216,44 
3861;81,90 
3863;128,70 
3864;66,30 
3868;81,68 
3869;300,30 
3870;637,65 
3871;354,91 
3872;241,79 
3873;479,70 
3875;263,25 
3877;409,50 
3878;130,66 
3880;226,20 
3881;83,85 
3883;132,60 
3884;68,24 
3888;89,70 
3889;313,95 
6497;98,00 
6498;115,20 
6499;127,90 
5120;44,10 
5121;64,70 
5122;81,30 
6253;44,10 
6254;64,70 
6700;56,30 
6701;56,30 
6702;79,80 
6703;79,80 
6735;184,00 
6736;184,00 
6737;73,80 
6738;73,80 
6825;103,80 
6826;103,80 
6827;207,80 
6828;207,80 
4821;222,30 
4823;89,70 
4824;109,20 
6525;50,60 
6526;50,60 
6650;206,84 
6651;186,16 
6652;100,19 
6653;55,59 
6654;52,36 
6655;74,33 
6656;114,41 
6657;209,43 
5530;168,03 
5531;127,95 
5532;80,17 
5533;58,43 
5534;39,30 
6815;48,86 
6816;48,86 
7050;35,40 
7051;35,40 
7292;87,42 
7293;87,42 
7065;57,80 
7066;55,86 
5560;1.840,41 
5561;970,40 
5562;523,17 
5563;494,13 
5564;380,94 
4970;159,76 
4971;215,68 
4972;241,82 
4973;152,50 
4974;208,42 
4975;234,56 
5110;104,33 
5929;116,99 
6482;64,40 
6483;47,20 
6360;52,70 
